ticket_id,issue,solution,department
TPU0001,multiple charges,Escalate to billing for reversal,purchase
TPU0002,invoice not received,Email invoice copy to customer,purchase
TPU0003,multiple charges,Escalate to billing for reversal,purchase
TPU0004,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0005,payment declined,Check card info and retry,purchase
TPU0006,multiple charges,Escalate to billing for reversal,purchase
TPU0007,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0008,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0009,invoice not received,Email invoice copy to customer,purchase
TPU0010,cannot add to cart,Clear app data and retry,purchase
TPU0011,cannot add to cart,Clear app data and retry,purchase
TPU0012,multiple charges,Escalate to billing for reversal,purchase
TPU0013,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0014,payment declined,Check card info and retry,purchase
TPU0015,payment declined,Check card info and retry,purchase
TPU0016,payment declined,Check card info and retry,purchase
TPU0017,cannot add to cart,Clear app data and retry,purchase
TPU0018,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0019,invoice not received,Email invoice copy to customer,purchase
TPU0020,cannot add to cart,Clear app data and retry,purchase
TPU0021,multiple charges,Escalate to billing for reversal,purchase
TPU0022,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0023,payment declined,Check card info and retry,purchase
TPU0024,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0025,cannot add to cart,Clear app data and retry,purchase
TPU0026,cannot add to cart,Clear app data and retry,purchase
TPU0027,multiple charges,Escalate to billing for reversal,purchase
TPU0028,invoice not received,Email invoice copy to customer,purchase
TPU0029,invoice not received,Email invoice copy to customer,purchase
TPU0030,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0031,cannot add to cart,Clear app data and retry,purchase
TPU0032,cannot add to cart,Clear app data and retry,purchase
TPU0033,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0034,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0035,payment declined,Check card info and retry,purchase
TPU0036,invoice not received,Email invoice copy to customer,purchase
TPU0037,invoice not received,Email invoice copy to customer,purchase
TPU0038,multiple charges,Escalate to billing for reversal,purchase
TPU0039,cannot add to cart,Clear app data and retry,purchase
TPU0040,cannot add to cart,Clear app data and retry,purchase
TPU0041,cannot add to cart,Clear app data and retry,purchase
TPU0042,cannot add to cart,Clear app data and retry,purchase
TPU0043,multiple charges,Escalate to billing for reversal,purchase
TPU0044,payment declined,Check card info and retry,purchase
TPU0045,multiple charges,Escalate to billing for reversal,purchase
TPU0046,invoice not received,Email invoice copy to customer,purchase
TPU0047,cannot add to cart,Clear app data and retry,purchase
TPU0048,multiple charges,Escalate to billing for reversal,purchase
TPU0049,multiple charges,Escalate to billing for reversal,purchase
TPU0050,cannot add to cart,Clear app data and retry,purchase
TPU0051,cannot add to cart,Clear app data and retry,purchase
TPU0052,cannot add to cart,Clear app data and retry,purchase
TPU0053,cannot add to cart,Clear app data and retry,purchase
TPU0054,cannot add to cart,Clear app data and retry,purchase
TPU0055,multiple charges,Escalate to billing for reversal,purchase
TPU0056,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0057,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0058,cannot add to cart,Clear app data and retry,purchase
TPU0059,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0060,multiple charges,Escalate to billing for reversal,purchase
TPU0061,multiple charges,Escalate to billing for reversal,purchase
TPU0062,multiple charges,Escalate to billing for reversal,purchase
TPU0063,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0064,multiple charges,Escalate to billing for reversal,purchase
TPU0065,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0066,multiple charges,Escalate to billing for reversal,purchase
TPU0067,gift wrap missing,Arrange delivery with proper packaging,purchase
TPU0068,multiple charges,Escalate to billing for reversal,purchase
TPU0069,cannot add to cart,Clear app data and retry,purchase
