ticket_id,issue,solution,department
TSA0001,wishlist not saving,Update app and retry,sales
TSA0002,bulk order query,Assist with large order process,sales
TSA0003,wishlist not saving,Update app and retry,sales
TSA0004,wishlist not saving,Update app and retry,sales
TSA0005,wishlist not saving,Update app and retry,sales
TSA0006,price mismatch,Explain pricing differences,sales
TSA0007,price mismatch,Explain pricing differences,sales
TSA0008,discount code not working,Verify code validity,sales
TSA0009,bulk order query,Assist with large order process,sales
TSA0010,wishlist not saving,Update app and retry,sales
TSA0011,promotion not applied,Check qualification for promotion,sales
TSA0012,promotion not applied,Check qualification for promotion,sales
TSA0013,wishlist not saving,Update app and retry,sales
TSA0014,promotion not applied,Check qualification for promotion,sales
TSA0015,price mismatch,Explain pricing differences,sales
TSA0016,bulk order query,Assist with large order process,sales
TSA0017,price mismatch,Explain pricing differences,sales
TSA0018,bulk order query,Assist with large order process,sales
TSA0019,discount code not working,Verify code validity,sales
TSA0020,wishlist not saving,Update app and retry,sales
TSA0021,price mismatch,Explain pricing differences,sales
TSA0022,price mismatch,Explain pricing differences,sales
TSA0023,promotion not applied,Check qualification for promotion,sales
TSA0024,promotion not applied,Check qualification for promotion,sales
TSA0025,wishlist not saving,Update app and retry,sales
TSA0026,wishlist not saving,Update app and retry,sales
TSA0027,price mismatch,Explain pricing differences,sales
TSA0028,bulk order query,Assist with large order process,sales
TSA0029,price mismatch,Explain pricing differences,sales
TSA0030,price mismatch,Explain pricing differences,sales
TSA0031,promotion not applied,Check qualification for promotion,sales
TSA0032,bulk order query,Assist with large order process,sales
TSA0033,promotion not applied,Check qualification for promotion,sales
TSA0034,wishlist not saving,Update app and retry,sales
TSA0035,wishlist not saving,Update app and retry,sales
TSA0036,promotion not applied,Check qualification for promotion,sales
TSA0037,discount code not working,Verify code validity,sales
TSA0038,price mismatch,Explain pricing differences,sales
TSA0039,wishlist not saving,Update app and retry,sales
TSA0040,wishlist not saving,Update app and retry,sales
TSA0041,bulk order query,Assist with large order process,sales
TSA0042,wishlist not saving,Update app and retry,sales
TSA0043,bulk order query,Assist with large order process,sales
TSA0044,bulk order query,Assist with large order process,sales
TSA0045,price mismatch,Explain pricing differences,sales
TSA0046,price mismatch,Explain pricing differences,sales
TSA0047,wishlist not saving,Update app and retry,sales
TSA0048,wishlist not saving,Update app and retry,sales
TSA0049,discount code not working,Verify code validity,sales
TSA0050,wishlist not saving,Update app and retry,sales
TSA0051,discount code not working,Verify code validity,sales
TSA0052,discount code not working,Verify code validity,sales
TSA0053,price mismatch,Explain pricing differences,sales
TSA0054,discount code not working,Verify code validity,sales
TSA0055,discount code not working,Verify code validity,sales
TSA0056,bulk order query,Assist with large order process,sales
TSA0057,discount code not working,Verify code validity,sales
TSA0058,price mismatch,Explain pricing differences,sales
TSA0059,price mismatch,Explain pricing differences,sales
TSA0060,bulk order query,Assist with large order process,sales
TSA0061,discount code not working,Verify code validity,sales
TSA0062,wishlist not saving,Update app and retry,sales
TSA0063,promotion not applied,Check qualification for promotion,sales
TSA0064,promotion not applied,Check qualification for promotion,sales
TSA0065,discount code not working,Verify code validity,sales
TSA0066,promotion not applied,Check qualification for promotion,sales
TSA0067,wishlist not saving,Update app and retry,sales
TSA0068,wishlist not saving,Update app and retry,sales
TSA0069,price mismatch,Explain pricing differences,sales
TSA0070,wishlist not saving,Update app and retry,sales
TSA0071,promotion not applied,Check qualification for promotion,sales
TSA0072,discount code not working,Verify code validity,sales
TSA0073,bulk order query,Assist with large order process,sales
TSA0074,promotion not applied,Check qualification for promotion,sales
TSA0075,wishlist not saving,Update app and retry,sales
TSA0076,discount code not working,Verify code validity,sales
TSA0077,wishlist not saving,Update app and retry,sales
TSA0078,bulk order query,Assist with large order process,sales
TSA0079,wishlist not saving,Update app and retry,sales
TSA0080,price mismatch,Explain pricing differences,sales
TSA0081,wishlist not saving,Update app and retry,sales
TSA0082,wishlist not saving,Update app and retry,sales
TSA0083,promotion not applied,Check qualification for promotion,sales
TSA0084,discount code not working,Verify code validity,sales
TSA0085,discount code not working,Verify code validity,sales
TSA0086,wishlist not saving,Update app and retry,sales
TSA0087,discount code not working,Verify code validity,sales
TSA0088,bulk order query,Assist with large order process,sales
TSA0089,promotion not applied,Check qualification for promotion,sales
TSA0090,wishlist not saving,Update app and retry,sales
TSA0091,discount code not working,Verify code validity,sales
TSA0092,price mismatch,Explain pricing differences,sales
TSA0093,bulk order query,Assist with large order process,sales
TSA0094,wishlist not saving,Update app and retry,sales
TSA0095,promotion not applied,Check qualification for promotion,sales
