ticket_id,issue,solution,department
TSU0001,delivery wrong address,Initiate address correction,support
TSU0002,defective product,Guide on returns/replacement,support
TSU0003,order not received,Track order and update ETA,support
TSU0004,defective product,Guide on returns/replacement,support
TSU0005,defective product,Guide on returns/replacement,support
TSU0006,customer request callback,Schedule support callback,support
TSU0007,order not received,Track order and update ETA,support
TSU0008,order not received,Track order and update ETA,support
TSU0009,refund delayed,Check refund status with payments team,support
TSU0010,customer request callback,Schedule support callback,support
TSU0011,order not received,Track order and update ETA,support
TSU0012,customer request callback,Schedule support callback,support
TSU0013,order not received,Track order and update ETA,support
TSU0014,refund delayed,Check refund status with payments team,support
TSU0015,delivery wrong address,Initiate address correction,support
TSU0016,delivery wrong address,Initiate address correction,support
TSU0017,delivery wrong address,Initiate address correction,support
TSU0018,refund delayed,Check refund status with payments team,support
TSU0019,order not received,Track order and update ETA,support
TSU0020,refund delayed,Check refund status with payments team,support
TSU0021,order not received,Track order and update ETA,support
TSU0022,delivery wrong address,Initiate address correction,support
TSU0023,order not received,Track order and update ETA,support
TSU0024,defective product,Guide on returns/replacement,support
TSU0025,customer request callback,Schedule support callback,support
TSU0026,defective product,Guide on returns/replacement,support
TSU0027,delivery wrong address,Initiate address correction,support
TSU0028,customer request callback,Schedule support callback,support
TSU0029,order not received,Track order and update ETA,support
TSU0030,defective product,Guide on returns/replacement,support
TSU0031,order not received,Track order and update ETA,support
TSU0032,order not received,Track order and update ETA,support
TSU0033,delivery wrong address,Initiate address correction,support
TSU0034,refund delayed,Check refund status with payments team,support
TSU0035,refund delayed,Check refund status with payments team,support
TSU0036,order not received,Track order and update ETA,support
TSU0037,order not received,Track order and update ETA,support
TSU0038,order not received,Track order and update ETA,support
TSU0039,customer request callback,Schedule support callback,support
TSU0040,defective product,Guide on returns/replacement,support
TSU0041,customer request callback,Schedule support callback,support
TSU0042,defective product,Guide on returns/replacement,support
TSU0043,delivery wrong address,Initiate address correction,support
TSU0044,customer request callback,Schedule support callback,support
TSU0045,defective product,Guide on returns/replacement,support
